Students	1124
1	1 2 3 4
2	5
3	6
4	7 8
5	9 10
6	11
7	12 9
8	13 14
9	15 16 17
10	18 19 20 21
11	11 22
12	23
13	24 25 26
14	27
15	28 29
16	30 21
17	31
18	32 33 34 35
19	19 36 37 38
20	39 40
21	41 24
22	1 2 4
23	42
24	43 42 41
25	44
26	45 1 2
27	46 47 48
28	49 24 26
29	50
30	51 24 10 52
31	53 31 29 54
32	22
33	55 56 57 58
34	59 41 24
35	60 61 62
36	2 4 63
37	64
38	65 33 22 66
39	67 68
40	24 29
41	69 2 63
42	70 20 71 21
43	15 16 72
44	73 74 75 76 2
45	14 77 78
46	23 79
47	12 9 80 81
48	82 22 35 83
49	2
50	84 85 21 25
51	86 50 87 88
52	49 89 46 24
53	2
54	15 90 74
55	91 50 24 92 93
56	94 2
57	95 96 97 20 21
58	98 99 100 101
59	102 92 103
60	46 85 23 78
61	104 9 105 106
62	9 96 107
63	108 1 2 63
64	109 14 85 110
65	77 111 69 2
66	15 112 79
67	23
68	113 77 30 107
69	114 48
70	115 9 116 72 117
71	118 49 22 35
72	24 2 29
73	104 119 120 121
74	122 51 16 123
75	43 42 124 125
76	49 111 2 63
77	104 9 80
78	126 127 110 83
79	41 24 113 77
80	90 39 1 2
81	128 126 129 87
82	51 33 22 35
83	39 73 130 48
84	53 24 87 26
85	122 77 130
86	131 87 132
87	133
88	115 24 26
89	65 134 74
90	19 135 38
91	12 9 62 57
92	136 137 48 138
93	43 28 121 57
94	9 139 140 117
95	55 141 142 143
96	120 134 62 144
97	145 52 146
98	147 148 11 22
99	51 135 149
100	150 134 107
101	1 2
102	151 62
103	12 152 117 48
104	24 153
105	154 99 155
106	156 157 79
107	24 158
108	115 12 9
109	24 26
110	9 151 152 117
111	41 24
112	24
113	33 11 22 159 35
114	160 136 71 21
115	161 138
116	162 83
117	12 9 73 119
118	50 24 124
119	163 77 88
120	164 79 34
121	49 24 121 117
122	76 69 165
123	163 22
124	10 125
125	166 40 74 167
126	65 52 168
127	147 19 169 133 95
128	170 171 77
129	172 122 51 73
130	154 99 155
131	6
132	173 41 24 71
133	170 46 149 47
134	12 112 33 35
135	112 87
136	174 77 21 159
137	175
138	50 1 2 176
139	61 126 133 76
140	9 170 46 27
141	68 44 94
142	177 79
143	163 79
144	178 2
145	173 179 49 27
146	9 180 181 117
147	139 140 67 97 71 21
148	22 149 157
149	84 133
150	11 153 23
151	174 34
152	149 1 2 48
153	115 104 12 27
154	91 161 62
155	2 3
156	9 14
157	21 87
