Students	1090
1	1
2	2 3 4
3	5 6 2 7
4	8 9
5	10
6	11 12 13
7	14
8	15 14
9	16
10	17 18 19 12
11	20 9 21
12	22 23 24
13	25 26 27
14	2
15	28 29 30
16	31 8
17	32
18	33 34 14
19	35 36
20	28
21	37 38 32
22	39 40 41 42
23	16 43 44
24	45 46
25	47 48 49
26	19 50
27	11 13
28	51 52
29	43 53
30	5
31	54
32	55 56 57 58
33	59 60 52 61
34	62 63
35	25 26 27
36	64 31 65 66
37	67 40 41 68 69
38	70 30 12
39	71 47 72 73
40	74 75 76
41	77 78 79
42	24 28 80
43	23 81 82 83
44	61
45	64 66 84
46	49
47	64 31 85 86
48	87 88 89
49	43 90
50	91 75
51	47 34 14 92
52	6 68 52 93
53	78 33 34
54	94 95 84 96
55	41 42
56	97 72 76
57	98 16 72
58	53 14
59	99 45
60	92 100
61	31 96
62	101 55 102 58
63	103 70 29 30
64	72 78 76
65	104 105 33 9
66	81 103 106 90 76
67	107 108 109
68	23 110
69	52 61 50
70	40 38
71	85 111 21
72	22 24 89
73	44 90
74	112 113 32
75	53 114 61
76	24 115
77	116 44 61 117
78	53 57 14
79	63 11 13
80	72
81	118 119 72
82	70 30 100
83	81 113 58 12
84	114 61 93
85	17 95 12
86	9
87	120 4
88	48 56 121
89	31 122
90	123 124 120
91	64 65 66
92	125 52 61 126
93	98 127
94	128 61
95	8
96	129 130 92 76
97	38 105 131
98	120 81 12
99	44 60 61
100	31 16 17 49
101	47 132 52 61
102	133 32 76
103	106 44 60 61
104	134 111
105	60 69
106	135 136 74 50
107	51 137 49 90
108	6 52 61 138
109	53 29 30 13
110	72 139
111	34 14 54
112	48 2
113	140 30 12
114	17 63 131
115	141 120
116	142 122 115 80
117	25 143
118	144 145 5
119	72
120	64 146 24
121	48 51 70 50
122	90 76
123	38
124	135 136 37 147
125	31 124 120
126	2 27
127	66 23 70
128	100 126
129	148 103 43
130	31 149 150 151
131	111 150 151
132	78 30 12
133	111 152
134	64 141 112
135	153 154 155
136	120
137	17 38 12
138	124 120 28
139	29 140 30
140	71 32 90
141	124 120 105 12
142	27 114 96
143	120 83
144	131 12
145	78 105 131
146	139 58
147	36 70 30 12
148	65 90
149	99 133 45 90
150	156 154
151	64 66 96
152	124 120 84
153	87 89 83
154	64 66 17 84
155	157 43 44
156	6 52 61
157	14 126
158	98 129 50
159	101 158
160	122 61 69
161	70 29 30 159
162	135 74 43
163	160 70 29 27
164	16 73 44 27
165	102 2 33 14
166	143 42 122 12
167	14
168	25 120 12
169	161 124 120
170	162 163 84 74
171	56
172	164 33 14
173	47 154 61 49
174	135 74 90
175	72
176	60 61
177	61 1 93
178	91 134
179	119 97 165 117
180	53 46 134 111
181	85 34
182	166 167 134 52
183	53 168 63 11
184	56 60 58 54
185	64 146 66 100
186	37
187	23 169 109
188	78 104 137
189	70 52
190	170 171 140 30
191	64 149 33 172
192	148 173
193	69
194	31 146 163 27
195	174 103 76
196	43 44
197	145 33 14
198	120 81 4
199	43
200	169 149
201	107 175 2 158
202	154 134 111 12
203	168 11
204	130 176 106 44
205	31 150 151
206	95 96
207	17 85
208	144 99 133 90
209	177 38 33 172
210	44 102
211	31 178 43 44
212	16 97 72 76
213	129 179 133
214	64 66
215	55 150 121
216	53 56 8
217	64 66 84 9
218	153 68 61
219	131 180
220	64 66 112
221	141 17
222	53 180
223	163 181 165
224	182 183 72 80
225	16 42 54
226	135 112 51 99
227	31 35 38 184
228	23 24 115
229	64 66
230	148 99 133
231	153 172
232	129 133 122 55
233	182 97 81
234	185
235	78 113 186 21
236	51 187 76
237	67 98 76
238	6 188 187
239	24 80
240	114 61 4
241	61 93
242	174 29 30 189
243	190 13
244	71 92 159
245	181 58
246	47 39 72
247	72
248	71 70 29
249	19 57 33 191
250	167 30 49
251	130 48
252	61 69
253	37 84 154 29 30
254	177 52 61
255	84 122 192
256	47 193 74 154
257	192 43 44
258	5 41 116 149
259	60 194 195
260	124 120
261	168
262	40 41 116 149
263	174 29 30 12
264	139 113 105
265	70 29 30
266	105 173 57
267	20 180
268	141 17
269	107 131 11
270	38 105 13
271	94 87 169 149
272	43 44 165
273	94 130 196 197
274	19 63 131
275	85 49
276	165 52 186 21
277	198 76
278	199 61 12
279	200 70 140 189
280	25 182 72 122
281	53 29 30 13
282	24 163
283	153 172
284	77 182 78
285	57 75 69
286	71 19 126
287	144
288	87 2
289	99 175 32
290	126 54
291	25 2 111
292	143 27 33 14
293	94 70 113 189
294	190 70 189 187
295	64 130 17 113
296	71 49
297	19 61 137
298	55 114 61 117
299	24 201 70 80
300	43 44 92 12
301	190 81 70 30
302	64 66 12
303	74
304	40 84 52 61
305	64 66 118
306	53 114 61
307	78 202 111 21
308	197 63 131
309	140 150 159 121
310	25 120 8
311	143 5 203 2
312	137
313	204 33 14
314	160 161 125 70
315	31 118 26
316	23 139 205 83
317	156 93
318	60 137 117
319	140 150 206 12
320	103
321	105 168 90 13
322	70 30 34 12
323	48 76
324	52 61
325	207 10 170 171
326	81 122 184
327	64 161 104 27
328	25 26 2 8
329	94 118 174 28
330	146 208 79 80
331	71 103 165 185
332	179 209 68
333	122 157 192
334	210 53 113
335	211 70 189
336	107 28 154
337	211 212
338	213 179 103
339	52 138
340	34
341	154
342	94 214 27 92
343	144 103
344	135
345	84 79 147 70
346	107 114 57
347	211 215 154
348	31 53 165 111
349	5 40 114 216
350	64 17 27 173
351	70 29 140 150 206
352	136 134 57
353	160 3 12
354	65 116 38
355	217 159 218 21
356	8 60 114 92
357	160 161 125 189
358	6 187
359	81 169 8
360	122 192 2
361	17 103 107 27
362	141 214
363	17 104 8 27
364	148 78 104 113 219
365	179 103 107 176
366	71 213 220
367	202 74
368	78 33 34
369	26 5 84 216
370	119 97 221
371	94 141 130 174
372	29 189
373	25 161 120 12
374	141 17 180
375	142 208 81 79
376	65 66 71 187
377	81 107
378	31 141 17 154
379	160 161 84 27
380	53 55 86
381	28 132 222 223
382	77 51 99 220
383	25 143 220 224
384	71 220 224 195
385	132 70 60 52
386	25 160 104
387	53 46 38 105
388	91 94 130 26
389	107 38 105 50
390	221 116 2 38
391	31 16 118 26
392	71 125 156
393	94 17 106 12
394	213 78 70 189
395	33 191
396	71 47 180
397	31 22 8 12
398	130 17 27 173
399	213 78 104 189
400	55 38 11
401	8 150 12
402	135 77 107 99
403	18 2 219 4
404	143 89 210 184
