Class Times	59
Rooms	62
1	33
2	24
3	104
4	27
5	12
6	26
7	16
8	35
9	27
10	32
11	45
12	52
13	10
14	8
15	8
16	30
17	12
18	52
19	17
20	24
21	27
22	31
23	15
24	33
25	13
26	24
27	36
28	23
29	11
30	18
31	24
32	13
33	11
34	29
35	29
36	15
37	25
38	10
39	28
40	7
41	12
42	58
43	13
44	17
45	13
46	10
47	18
48	11
49	10
50	24
51	6
52	12
53	10
54	1
55	8
56	2
57	5
58	2
59	8
60	12
61	5
62	9
Classes	283
Teachers	152
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	1
13	12
14	13
15	14
16	15
17	16
18	17
19	18
20	19
21	20
22	21
23	22
24	23
25	24
26	5
27	25
28	26
29	27
30	28
31	26
32	29
33	30
34	31
35	32
36	33
37	34
38	23
39	23
40	35
41	36
42	37
43	16
44	38
45	36
46	39
47	40
48	41
49	42
50	43
51	44
52	45
53	46
54	47
55	5
56	48
57	49
58	50
59	51
60	27
61	52
62	53
63	54
64	55
65	52
66	55
67	56
68	57
69	58
70	59
71	60
72	26
73	61
74	62
75	63
76	63
77	64
78	65
79	5
80	66
81	67
82	68
83	69
84	70
85	18
86	71
87	72
88	73
89	74
90	75
91	76
92	77
93	78
94	79
95	69
96	62
97	16
98	1
99	39
100	80
101	81
102	36
103	31
104	60
105	54
106	60
107	82
108	35
109	83
110	84
111	85
112	86
113	87
114	88
115	89
116	90
117	91
118	92
119	93
120	94
121	95
122	94
123	50
124	96
125	97
126	5
127	98
128	99
129	100
130	101
131	37
132	102
133	103
134	58
135	104
136	105
137	106
138	107
139	19
140	70
141	108
142	109
143	3
144	87
145	110
146	111
147	44
148	112
149	56
150	72
151	46
152	48
153	66
154	93
155	84
156	21
157	96
158	38
159	25
160	113
161	114
162	115
163	112
164	116
165	18
166	11
167	117
168	118
169	119
170	1
171	120
172	74
173	86
174	10
175	121
176	48
177	2
178	97
179	88
180	79
181	122
182	119
183	123
184	124
185	125
186	60
187	126
188	28
189	127
190	128
191	50
192	87
193	129
194	44
195	21
196	43
197	74
198	28
199	104
200	81
201	122
202	124
203	83
204	130
205	87
206	106
207	103
208	53
209	67
210	131
211	61
212	132
213	5
214	122
215	133
216	134
217	41
218	135
219	45
220	103
221	135
222	50
223	123
224	29
225	136
226	74
227	137
228	138
229	139
230	113
231	83
232	140
233	122
234	141
235	17
236	76
237	142
238	133
239	65
240	58
241	17
242	143
243	66
244	124
245	30
246	34
247	108
248	100
249	67
250	144
251	19
252	67
253	31
254	145
255	54
256	53
257	139
258	41
259	127
260	115
261	127
262	146
263	28
264	62
265	147
266	148
267	86
268	120
269	28
270	121
271	122
272	9
273	31
274	120
275	45
276	130
277	19
278	149
279	86
280	150
281	151
282	142
283	152
