Students	1112
1	1
2	2
3	3 4
4	5 6 7 8
5	9 10
6	11
7	12
8	13 14 15
9	16 17 18
10	19 20 21 22 18
11	23 11 24
12	25 26
13	12
14	12
15	27 28 18 29 30
16	31 32
17	33 34 18
18	16 35 36
19	37 15
20	38 39 40
21	41
22	42 43
23	44 45
24	46 47
25	16 48 15 29
26	37 39 40
27	48 49 50
28	51 52 45
29	28 45 18 53
30	54
31	55 43 8 29
32	56
33	57 43 58
34	59 60 19
35	61 62 63
36	64 65
37	27 20 66
38	10 54
39	67 51 68
40	69 70 71 72
41	73 58 74
42	75 76 77
43	72 78 79
44	49
45	80 12 63 81
46	82
47	49 44
48	55
49	83 84
50	85
51	86 52 87
52	45 18 88 24
53	49 89 90 30
54	91 92 93
55	36 45 18
56	33 94
57	20 80
58	52
59	93 21
60	95 4
61	96 97
62	98 99 100
63	61 74 101
64	102 103 57 104
65	105 106 66
66	42
67	20 107
68	108 109 47
69	110 5 111
70	27 62 112
71	113 114 115 116
72	48 13
73	96 53
74	45 18
75	17 29
76	117 5 20
77	62 63 15
78	117 5 118 98
79	32
80	93 100
81	117 5 119 12 15
82	49 120 96
83	121
84	74
85	77 74
86	33 122
87	10 11 24
88	43 15
89	70 123 53
90	113 95 12 63
91	42 41 124
92	125 38 126
93	127 128 129
94	130 64
95	131 36
96	132
97	133
98	60 96
99	25 126
100	46 47
101	85
102	134 11
103	34
104	135 43 109 76
105	136 137 83 30
106	93 44
107	43
108	124 100 134
109	138 139 140
110	38 76 47 54
111	141 127 66
112	3 142 25 96
113	5 72
114	52
115	20 77 100
116	143
117	49 144 53
118	67 93
119	42 145 146
120	109 76 74
121	95 45 18
122	56 129 15
123	147 148 35
124	123
125	21 94
126	149
127	106 143
128	150 57
129	146 59 101
130	151 152
131	16 36 18
132	54
133	30
134	20 153 11 144
135	37 39 58 96
136	77 90 74
137	154 55 10 99 155
138	15 156 36 18
139	58 24 53
140	157
141	55 20 63
142	117 5
143	149 135 76
144	92 38 150 15
145	32 140
146	142 14 98
147	100 153
148	72
149	158 24
150	38 64 159 76
151	59 98
152	127 118 145 146
153	65 160 157
154	19 13
155	51 89 76 77
156	69 70 49
157	100 54
158	133 148
159	65 31 77
160	59 60 85
161	161 88
162	133 105 81 101
163	132 114 115 162
164	142 25
165	49 14
166	55 112 162 96
167	145 146
168	109 74
169	33 20
170	59 60 163
171	113 95
172	142 25 20 40
173	149 148 101
174	56 74
175	116 62 120
176	46 30
177	127 106 164 123
178	52 23
179	165 157
180	117 5 118 115
181	117 5 68 30
182	59 60 14
183	166 62 12
184	70 71 167 168
185	80 63 147 43
186	73
187	145 146 20 76
188	158 72 153 134
189	117 110 5 15
190	77 74
191	56 169
192	10
193	49 20 14
194	141 117 5 20
195	126 89 76 90
196	170 60 85
197	15 34 28 18
198	142 25 80
199	80 89 77
200	95 28 18
201	117 110 5 15
202	95 117 5
203	133 171 172 108
204	166 173 127
205	170 142 140 23
206	105 46 99 47
207	160 157 122
208	174 64 76
209	20 148 21 175 84
210	113 20 122
211	100
212	100 54
213	176 33 172
214	124 100
215	92 177 162 11
216	20 66 98
217	165 6 80 30
218	142 124
219	178 19 20 66
220	179 180
221	126
222	43 4
223	181 43 15
224	20 182 150
225	183 184 165 52 76
226	65 175 10
227	61 76
228	64 76 74
229	141 62 63
230	185 148 85 186
231	16 20 66 15
232	117 5 14
233	39 64 87
234	38 12 40
235	121 52 19 80 43
236	77 90 50 40
237	141 187 43 123
238	135 43
239	50 46 10 54
240	141 100 54
241	5 115
242	85
243	52 7 105 143
244	188 165 51
245	73 165 51
246	158 72
247	57 43
248	159 189 90
249	95 5
250	60 56 122
251	20 124 100 153
252	95 159 45 18
253	95 117 23
254	74 45
255	105 106 190 191
256	121 118 170 40
257	142 20 159
258	45 18
259	170 37 40
260	189 157 122
261	40 18 24
262	41 156 18
263	49 45
264	182 12 30
265	93 26 18
266	67 76 90 74
267	14
268	16 49 61 76
269	192 181 100
270	193 117 5 115 40
271	56
272	48 49 45
273	52 101
274	160 157
275	93 116 194
276	19 76 77
277	119 62
278	25 76
279	81 36 34 28
280	20 29
281	60 80
282	95 86 25 40
283	121 44 45 18
284	56
285	117 5 159
286	121 106 12 24
287	143 77 157 122
288	3 118 142 114
289	89 76 90
290	183 184 49 20
291	19 133 96
292	183 184 42
293	19 195
294	69 90
295	49 83 45
296	196 34 45 18
297	16 49 20 84
298	64 123 11 53
299	122
300	73 135
301	197 36 18
302	77 90 74
