Students	100
1	20 37 25 17
2	7 4 3 2
3	18 21 10 25
4	2 23 25 4
5	36 24 28 6
6	11 6 15 9
7	23 29 28 24
8	1 11 7 3
9	18 17 30 2
10	21 8 23 32
11	3 27 25 40
12	33 20 38 9
13	5 14 11 19
14	23 1 33 38
15	17 11 3 24
16	18 7 33 5
17	10 16 9 19
18	2 6 24 23
19	4 13 39 15
20	23 17 15 35
21	17 24 34 1
22	12 36 3 29
23	3 24 27 6
24	30 35 15 1
25	14 16 9 31
26	24 27 10 31
27	14 38 35 5
28	34 5 27 15
29	23 18 9 13
30	30 6 10 3
31	18 24 40 15
32	15 40 34 1
33	10 40 33 3
34	9 19 30 18
35	21 5 9 23
36	27 22 34 15
37	39 35 33 5
38	38 37 32 36
39	25 38 18 33
40	15 36 23 17
41	29 12 31 34
42	20 19 14 11
43	31 5 17 32
44	26 7 22 18
45	32 19 7 25
46	35 19 40 21
47	35 26 19 27
48	40 34 1 25
49	15 27 28 21
50	27 40 26 35
51	31 5 34 25
52	37 16 7 36
53	40 11 25 21
54	37 23 34 11
55	36 18 8 15
56	13 36 26 21
57	37 6 31 7
58	16 17 11 32
59	23 15 19 30
60	3 8 9 37
61	1 13 16 18
62	18 38 16 30
63	21 16 9 23
64	6 21 40 9
65	6 11 33 16
66	32 1 37 28
67	5 8 28 2
68	28 19 15 23
69	33 18 6 17
70	11 39 17 31
71	17 26 39 38
72	3 13 38 1
73	12 19 40 18
74	10 4 1 24
75	9 7 33 10
76	13 15 7 1
77	16 10 18 35
78	28 17 7 5
79	35 4 22 21
80	1 34 14 29
81	15 14 38 34
82	20 9 29 13
83	39 7 17 34
84	28 23 19 21
85	22 37 40 5
86	15 16 28 37
87	37 34 7 13
88	17 30 38 4
89	21 31 22 38
90	4 40 21 2
91	15 2 13 29
92	15 27 40 5
93	21 13 24 16
94	23 24 6 20
95	27 4 38 40
96	1 32 23 26
97	9 6 26 25
98	34 9 2 27
99	39 24 26 30
100	2 16 33 15
Students	100
1	15 40 14 26
2	37 15 16 28
3	15 21 1 37
4	24 22 32 6
5	2 18 31 29
6	3 25 4 12
7	3 4 11 31
8	39 33 15 25
9	21 6 5 19
10	30 28 11 34
11	1 29 31 4
12	27 38 34 1
13	2 34 26 29
14	38 20 13 39
15	40 7 10 4
16	37 22 16 2
17	30 10 15 3
18	38 7 20 40
19	38 36 39 17
20	7 10 40 16
21	8 38 2 33
22	15 21 30 36
23	17 36 31 15
24	20 40 31 18
25	16 20 28 7
26	29 15 16 25
27	1 7 14 23
28	23 7 27 15
29	15 18 40 20
30	9 21 22 24
31	8 2 40 33
32	16 12 3 6
33	13 16 38 26
34	35 38 39 13
35	16 5 29 39
36	35 16 10 15
37	12 3 20 16
38	2 11 27 32
39	29 21 23 28
40	7 8 35 34
41	19 15 6 18
42	11 13 9 30
43	40 39 23 33
44	38 13 8 10
45	37 12 15 5
46	23 8 32 29
47	40 5 23 11
48	21 39 19 25
49	26 11 3 29
50	8 14 31 15
51	20 3 32 25
52	6 12 4 8
53	3 40 20 33
54	28 25 31 6
55	4 5 1 39
56	26 21 18 10
57	31 35 7 25
58	24 13 37 20
59	18 38 29 7
60	5 34 29 1
61	19 33 11 26
62	31 16 30 36
63	6 16 40 31
64	34 24 31 40
65	18 37 19 26
66	22 26 10 39
67	23 13 19 25
68	22 34 32 38
69	20 28 24 12
70	9 21 15 30
71	10 38 11 2
72	29 7 28 25
73	23 40 39 37
74	38 33 7 20
75	5 19 38 17
76	24 12 5 23
77	5 31 10 21
78	4 16 19 10
79	39 13 37 17
80	9 25 17 30
81	31 5 38 27
82	5 38 14 1
83	13 19 26 20
84	32 1 13 15
85	38 5 22 14
86	21 6 2 11
87	11 9 1 39
88	39 34 31 2
89	39 22 14 21
90	8 31 18 2
91	10 21 40 39
92	26 29 24 18
93	14 5 6 38
94	23 37 25 30
95	24 30 33 27
96	9 4 11 5
97	1 24 8 28
98	34 35 4 8
99	6 39 19 27
100	32 27 14 6
