Students	1167
1	1
2	2
3	3
4	4
5	5
6	6 7
7	8 9 10
8	5 11
9	12 13
10	8 14 10
11	15 16
12	17
13	7
14	18 5 19
15	20 21 22 23
16	24
17	25 26 27
18	28 16
19	8 14 10
20	29 30 31 32
21	33 34 5
22	35 36 37
23	38 39
24	40 23
25	41 42 43 44
26	35 45 46
27	29 30 47 31
28	48 49 50
29	12 5 51 52
30	26 53
31	54 55 56 57
32	12 58 31
33	59 60 61 62
34	63 64
35	5 65 66 67
36	20 21 4 32 23
37	68 69
38	70 71 3
39	72 73 11 74
40	8 3
41	10 75
42	76 77 78 79
43	80 81 54 32
44	82 83 77
45	58 84 85
46	49 50
47	86 87
48	6
49	88 80 89
50	90
51	91 39
52	5 66 50 92
53	93 94
54	25 18 95
55	96 91 97
56	76 64 98 99
57	100 6 23
58	94 101
59	59 11 62
60	102 103 94
61	104 105 31
62	106 93 107 46
63	108 109 5 56
64	110 40 16 6
65	99 111 6
66	101 10 95
67	112
68	113 6 53 114
69	115 116
70	84 117
71	114 95
72	88 63
73	91 78 97
74	118 101 39 95
75	99 119
76	68 114 37
77	120 121 5
78	122 64 100 123
79	94
80	2 44
81	124 125 126
82	5 11
83	109 5
84	59 61 127
85	128 77 112
86	124 125
87	129 124
88	29 130 131 132
89	82 77 94
90	88 80 133
91	134
92	131 74 124 125
93	38 125
94	135 136 125
95	137
96	138 139 140
97	135 141 142 3
98	49 94
99	143
100	101 144
101	145 146 147
102	26 148
103	149 57 45 61
104	18 35 45 85
105	87 122 73
106	86 20 150
107	151 40
108	68 51 37
109	51 152
110	153 138 10
111	66 100 11 154
112	155 96 97 156
113	50
114	157 144
115	88 10 158 159
116	160 94 144
117	125 3 161
118	86 162 80
119	52
120	120 5
121	91
122	52 163 164 37
123	59 165 56 2
124	166 26 74 167
125	41 112 146 44
126	66 56 142
127	29 125 79 168
128	169 106 109
129	21 135 46
130	20 170 59 62
131	10
132	20 59 133 32 62
133	122 143 5 19 92
134	171 77 32 172
135	101 144
136	173 5
137	94 114
138	21 174 175
139	143 47 31 19
140	17 94 176 177 95
141	31 142 107
142	5 32 19
143	68 37
144	60 178 31
145	149 21 179 116
146	49 2
147	83
148	88 156 37
149	81 133
150	41 180
151	5 101 19
152	91 61
153	52 35
154	134 143 93
155	83 77
156	135 105 133
157	122 5 39 45
158	11 26 27 51
159	101 181 182 85
160	183 20 21 39 23
161	60 108 95
162	184
163	12 5 19
164	5 185 164 167
165	178 130 174 31
166	34 35 150 46
167	170 59 9 66
168	86 80 186 129
169	187 124 125
170	20 59 81 32 62
171	106 109 5 119 19
172	49 95
173	113
174	184 31
175	25 63 14
176	21
177	90 27 188 150
178	50 189 24 92
179	35 150 7
180	87 5 19
181	82 83 77 42
182	20 190 77
183	191
184	190 66 56
185	66 56
186	192 131 31
187	96 36 7
188	63 176 193 194
189	5 19
190	112 57
191	82 2 84
192	84
193	33 5
194	36 37
195	25 10 195
196	27 163 37
197	173 5 85
198	196
199	114
200	129 124 125
201	63 155 97
202	41 135 101 95
203	63 10 133
204	66 127
205	101 144 197
206	20 21 141
207	173 198
208	41 4
209	199
210	88 63 155
211	77 66 200
212	165 56 201
213	38 93 99 78
214	143
215	29 125 57 3
216	60 160
217	124 125 24
218	83 77 3 126
219	94 101 202 203
220	54 184 111 152
221	56 13
222	5 168
223	76 169 94 101
224	35 7
225	165 56 73 204
226	94 101 46
227	198 41 205
228	94 24 206 95
229	124 125
230	94 207 206 95
231	170 59 62
232	155 78 97 95
233	202 3
234	125 3 126
235	125 164 107
236	86 89 186 208
237	173 33 143 5
238	29 67 150
239	12 5 168
240	120 5 66 127
241	179 124 125
242	8 33 29 31
243	124 125
244	42 94
245	53 163 139
246	83 77 209
247	124 125 207
248	81 124 125 126
249	209 28
250	41 122 99 78
251	60
252	198 83 77
253	91 67
254	9 102 103 22
255	88 14 35 7
256	28
257	210 67 16
258	211 110 19
259	33 5 90
260	94 212 176 95
261	52 36
262	94 101 95
263	70 213 69 85
264	91
265	83 77 46
266	36 7 46
267	20 21 4
268	20 21 214 32
269	105 4
270	215 68 53 51
271	86 20 48 61
272	105 165 56
273	106 216 5 19
274	190 106 5 19
275	25
276	41 101 35
277	10 53 158
278	80 89 54 46
279	5 142 201
280	30 3
281	66 217 125 127
282	20 91
283	52
284	12 2 31
285	83 77 29 107
286	183 88 89 186
287	121 5 168
288	60 216
289	51 37
290	77 105 218
291	179 94 101 119 219
292	35 36
293	66 56 189 24
