Students	150
1	57 21 3 58
2	55 35 20 33
3	20 36 25 5
4	24 49 47 20
5	12 35 40 55
6	16 12 35 5
7	57 40 55 13
8	14 55 7 43
9	33 55 32 43
10	32 13 51 57
11	43 11 30 12
12	3 14 41 36
13	24 34 17 21
14	6 43 4 46
15	33 30 36 13
16	31 23 9 51
17	36 29 49 5
18	37 55 42 14
19	30 20 31 16
20	3 15 51 29
21	45 13 41 26
22	21 5 40 34
23	60 30 2 35
24	28 15 5 37
25	8 48 43 42
26	32 31 11 46
27	28 50 45 35
28	32 28 52 17
29	14 44 48 26
30	4 48 17 14
31	37 56 55 29
32	50 34 31 53
33	49 8 22 14
34	10 33 22 45
35	47 34 56 21
36	30 55 32 6
37	11 50 34 58
38	30 5 7 14
39	16 8 44 5
40	34 37 4 54
41	31 17 18 14
42	59 49 50 45
43	3 38 11 40
44	12 19 53 34
45	33 34 29 4
46	50 1 43 27
47	22 9 45 29
48	45 28 13 59
49	7 26 42 37
50	46 13 27 44
51	56 45 19 18
52	49 44 34 41
53	20 34 50 7
54	60 20 14 10
55	4 13 33 57
56	54 34 50 52
57	6 35 27 22
58	44 18 5 2
59	18 6 46 26
60	21 25 20 47
61	55 13 58 56
62	53 22 36 13
63	32 1 34 9
64	49 16 29 11
65	12 4 2 24
66	38 2 34 4
67	5 10 33 45
68	42 21 53 40
69	14 39 35 33
70	3 30 2 41
71	10 27 54 50
72	9 36 14 57
73	35 25 34 27
74	11 38 19 24
75	48 44 54 35
76	5 28 27 47
77	29 23 3 41
78	14 29 2 47
79	38 30 8 22
80	39 46 40 22
81	21 27 2 23
82	42 53 3 55
83	4 37 53 44
84	46 51 42 5
85	60 19 59 44
86	20 23 58 27
87	5 23 39 60
88	26 18 36 16
89	43 16 25 28
90	19 24 8 9
91	8 54 57 21
92	49 20 60 56
93	22 54 6 37
94	10 48 7 8
95	7 47 34 53
96	55 40 57 22
97	16 29 10 32
98	36 48 55 44
99	26 11 16 4
100	47 28 44 52
101	28 20 53 21
102	48 57 20 49
103	48 31 54 56
104	56 30 32 23
105	23 35 7 12
106	55 53 50 6
107	15 59 40 53
108	59 31 20 34
109	5 26 13 42
110	30 18 34 31
111	11 32 3 17
112	56 18 27 30
113	7 54 55 44
114	27 35 8 19
115	43 8 52 10
116	40 19 54 9
117	12 40 59 21
118	30 27 3 20
119	9 1 25 60
120	53 39 17 44
121	56 34 37 27
122	18 11 50 48
123	33 41 34 46
124	60 18 9 36
125	18 51 33 38
126	11 56 13 34
127	37 40 1 16
128	11 47 26 6
129	12 57 5 53
130	56 53 20 32
131	26 59 40 4
132	60 39 13 44
133	49 15 57 44
134	3 19 46 37
135	40 12 49 30
136	17 27 49 8
137	48 23 8 15
138	36 50 47 49
139	38 10 47 41
140	37 53 39 50
141	19 5 16 6
142	9 53 60 52
143	51 4 23 33
144	40 15 57 4
145	53 42 33 40
146	10 18 34 6
147	31 8 48 29
148	50 3 46 41
149	17 22 15 44
150	11 17 49 18
