Students	1148
1	1
2	2
3	3
4	4
5	5
6	6
7	7 2 8 9
8	10 11 12 5
9	13 14 15
10	16 12
11	17 18 19 20
12	21
13	22 23
14	24 25
15	26
16	27 28
17	29
18	30 24 12 31
19	32 33 34
20	35 36 37
21	38 39 40
22	41 42
23	43 17
24	6
25	44
26	45 46 47 19
27	48 12 49 5
28	50 51 52 53
29	45 46 54 55
30	56 7 57 2
31	58 10 59
32	60 61 62
33	63 64 65 66
34	67 10 68
35	69
36	42 70
37	71 72 39
38	73 74 75 76 77
39	73 78 12 79
40	80 29
41	7 65 4 81
42	16 82 83 29 84
43	42 85 72
44	60 29 86
45	33 17 87
46	88 65
47	89 90 91 6
48	70
49	92 93
50	57 94 95
51	96 97 98
52	99 45 46 42
53	85 59 100
54	101 41 46 102
55	32 38 103
56	104 105 38 106
57	107 39 34 87
58	7 108
59	109 7 78 12
60	32 34 110 111
61	17
62	112 113 49
63	114
64	42 115 10
65	11
66	96 116
67	46 56 13 115
68	58 117 118
69	119 120 121 122
70	99 45 46 42
71	123 124 81
72	82 60 125 29
73	73 126 55
74	127 90 128 72
75	129
76	72 17 103 87
77	46 130 131 132
78	60 78 12 133
79	56 7
80	42 14 35 70
81	7 58 69
82	60
83	134 135
84	136 92 9
85	112 137 138 139
86	50 140 84
87	63 141 142 111
88	143 3
89	60 15 70
90	56 144 116 15
91	104 145 24 124
92	146 147 97 39
93	148 149
94	41 7 150
95	64 24 151 152 25
96	146 63 82 29
97	122
98	153
99	99 92 154 15
100	101 127 28 155
101	46
102	63 125 84
103	156
104	145 113
105	130 82 157
106	130 60 15 70
107	137 158 128
108	159 120
109	27 7 132
110	23 11 59 160
111	161 7 162
112	114 163
113	164 134 39 165
114	7 164 69 40
115	46 95 166
116	51 167
117	168
118	127 17 25
119	27 169 85 170
120	45 46 54 25
121	27 10 59
122	117 11
123	160
124	130
125	32 39
126	119 74 116
127	73 116 79
128	50 59 118 100
129	101 97
130	11
131	27 61 11 29
132	46 132
133	74 66
134	171 119 172 173 53
135	89 13 14
136	13 67 163
137	174 10
138	175 176 177
139	56 7 117 178
140	179 148 137 149
141	180 102 181 173
142	32 24 37
143	177 162
144	42 182 39 55
145	179 148 97 149
146	50 183
147	136 27 4 70
148	88 8
149	171 102 181 173
150	175 117 11
151	131 174
152	127 90 184
153	91 185 135
154	91 129
155	16 104 23 174 186
156	114 95 129
157	11 160 124
158	163 125
159	136
160	83 29 98
161	171 112 181
162	107 90 91 65
163	182 134 39
164	92 126 187
165	145 43 17
166	39 165 40
167	161 7 152 2
168	27 7 58
169	72 17 18 103
170	17 170
171	125
172	188 128 97 189
173	45 46 54
174	36 4 190
175	67 163
176	17 93 170
177	123 145 8 81
178	17 138 87
179	50 191 7
180	49
181	130 148 82 29
182	43 17
183	64 15 49 70
184	42 7 2 81
185	192 100
186	90
187	38 12 68
188	73 193
189	89 45 46 123
190	91 194 66
191	72 17 103
192	17 103 111
193	42 78 12
194	112 195 145 196
195	148 67 92
196	197 15 174
197	50 7 22
198	73 114
199	82 60 29
200	197 75 76
201	7 162 40
202	22 198 64 10
203	192 113 66 135
204	107 22 113 135
205	112 199 15 66
206	23 59 68
207	74 116 200
208	101 17 103 19
209	59 160 150
210	60 29 70
211	158 15 70
212	101 41 46 166
213	117 59
214	185 69 125 121 201
215	120 123
216	120 153 43 17
217	38 188 189
218	7
219	176 7 189 2
220	114 129
221	22 59 160 100
222	45 46 75 76
223	144 64 202 124
224	33
225	114 31
226	16 107 83 23
227	203 108 40 37
228	204 80 91
229	51 141 167
230	27 82 29
231	130 131 205
232	74 116 38 157
233	59 100 70
234	206 120 122
235	207
236	42 159
237	145
238	208 36 143
239	59 100
240	43 184 121
241	46 42 29 54
242	91 113 134 135
243	127 109 91 132
244	145 135 40
245	14 143 3
246	191 7 209 40
247	7 10 8 81
248	80 210 66 135
249	197 211 15 160
250	7 154 169 2
251	96 119 27 210
252	13 15 212
253	42 73 15
254	61 83
255	144
256	116
257	46 27 49 98
258	125 121 84
259	99 211 213 158
260	205 86
261	114 163 75 76
262	46 15 214
263	114 163 35
264	208 35 61 215
265	74 116
266	216 7
267	80 153 29
268	50
269	22 198 11
270	45 46 54 214
271	144 116 108 49
272	109 12 217
273	117 59 48
274	180 35 36
275	21 85 48 98
276	142 103
277	74 116
278	112 50 218 219
279	80 82 29
280	45 46 197 15
281	220 12
282	221 12 5
283	222 38 124 81
284	43 17 138
285	205 144 116 24
286	32 24 223 170
