Students	1719
1	1 2 71 52
2	3 102 25
3	4
4	5 6 177
5	7 301 175 259
6	8 8 116
7	9 10 11 79
8	12 89 154
9	13
10	14 15
11	16 17 18 76
12	19
13	20 100
14	21 172 30 30 47
15	22 295 41
16	23 24 25
17	25 26 119
18	27 179
19	16
20	4 28 174 87
21	8 8 29 11 30 30
22	31 32 32 11 210
23	33 34 35
24	36 37
25	38 24 309
26	9 10
27	39 40 41 112
28	42 28 144
29	43 44 140
30	45 46
31	47
32	40 259
33	48 49 50 14
34	51 8 8 50
35	52 20
36	53 34 136
37	54 55 70
38	56 33 197
39	57 58 48 233
40	59 60 2 61 62
41	54 25
42	63 64
43	65 66 30 249 48 30
44	67 67 42
45	68 60 226 241 59
46	24
47	50 150 109
48	69 25
49	66 292
50	33 56 143
51	70 23 71 25
52	57 8 8 72 150
53	73 289 290 25
54	59 74 75
55	76 29 313
56	25 77 23
57	78 22
58	79 11 62
59	79 73 289 290
60	33 25 154
61	80 24 246
62	81 100 138
63	48 24
64	57 82 82 83
65	84 85 28 170 241
66	2 193
67	19 15
68	70 23 25
69	53 136
70	86 166 18 209
71	87 88 89 85
72	90 125 260
73	90 12 91 52
74	4 216 88
75	42 35 92 295
76	50
77	93 84 85 28 241
78	94 95
79	96 248 288 84 103
80	31 277 11
81	2 97 170 193
82	98 99 181 116
83	21 168 221 141
84	44 101
85	100 101 102
86	103 248 96 288
87	104 25
88	5 177 110 197 65
89	105 106 25 138 95
90	22 104 70
91	107 84
92	23 97 279 25
93	38 26
94	66 108 109 37
95	96 103
96	2 110 43
97	111 133
98	28
99	112 60
100	113 114 115
101	97 116 115
102	54 25 22 192
103	4 138 36 94
104	4 174 36
105	112 116 4
106	78 56 254
107	117 118 107
108	89 31 11
109	57 8 8 119 29
110	70 23 25
111	14 25
112	100 21 250
113	70 120 121 122
114	23 25
115	123 25
116	124 70 28
117	125 126
118	51 70 25
119	57 8 8 81 127
120	42 44 63
121	8 8 82 82
122	79 36 103 82 82
123	84 28 241
124	122 121
125	104 84 28
126	83 127 57 135
127	23 4 25
128	78 128 246 302
129	25 84 85 241
130	129 4
131	80 130 101 164
132	33 56 82 82
133	87 131 24 17
134	33 132 9 76 150
135	133 38 25
136	112
137	134 54 25 135
138	49 147 149 82 82
139	106 91 136
140	137
141	138 139 84 63
142	3 68 25
143	140 82 82 83 150
144	141 293 175
145	8 8 123 25 30 30
146	142 154 30 246 30
147	143 87 38 113
148	144 145 146 135
149	147 49 148 149
150	11
151	87 38 88 81 25
152	150 81 34
153	61 88 223 253 170 62
154	1
155	87 7 187 24
156	129 13 2 151
157	152 118 99
158	153 99 178 168
159	56 192 246
160	142 151 190 315
161	133
162	49 147 149
163	154 206 158 53
164	155 156 269
165	48 64 258
166	157 33 8 8 158
167	159 160 102 195
168	59 61 56 63 62
169	57 48 150
170	87 81 217 304
171	52 65 169 101
172	129 142 71
173	54 279 253 142 25 275
174	125 161 162
175	159 163 29 261 160
176	8 8 125 150 50
177	8 8 100 29 83
178	164 87 2 38
179	165 60 146
180	155 142
181	129 34 26 304 28
182	38 166 150
183	53 87 38
184	87 167 210
185	155 38 88
186	94 168 38 88
187	169 2 170 142
188	121 247 94
189	19 171 108 17
190	13
191	157 117
192	150 89
193	63 172 61 227
194	8 8 82 82 87 94
195	140 67 67 48
196	90 143 63
197	90 170 173 138
198	139 150 83 84 174 85
199	175 176 72
200	29
201	76 9 1
202	20 88 131
203	87 24 223
204	19 150 84 85 262
205	34 11 11
206	94 151 37
207	177 142 5
208	178 153 208
209	179 180 25 123
210	49 147 149 166
211	8 8 1 150 30 30
212	87 167 109
213	57 8 8 162 83
214	67 67 153 98 181 312
215	2 115 68
216	99 116
217	182 46 124 217
218	52
219	19 183 151 46
220	142 93 63
221	184 185
222	29 146 138
223	35 86 26 71
224	67 67
225	92 186 166
226	22 150 174
227	29 106 152
228	187 124
229	72 197
230	11 26 32 32
231	137 25 196 271
232	188 179
233	43 29 168 241
234	189 185
235	70 257 124 25
236	49 147 149
237	190 82 82 81 4 48
238	27 121 223 233
239	65 1 29 30 30
240	164 191 191 56 309
241	192 29 30 179 30
242	26 306 153 308
243	65 48 67 67 137
244	86 22 180 119
245	21 148 135
246	167 193
247	94 143 138 194 261
248	52 138 142
249	129 35 108 17
250	19 21 113 195
251	196 153 309 227
252	140 197 150
253	80 38 279 283
254	8 8 178 48 152
255	190 82 82 57
256	198 199 202 89 89
257	142 61 62 68
258	200 86
259	8 82 82 94 8
260	201 110 155 148
261	202 221 141 215 275
262	191 191 226
263	140 67 67 72
264	67 203 204 67 29
265	48 140 67 67
266	65 48 8 8 30 30
267	205 127 24 67 67
268	68 191 191 140 135
269	188 61 63 203
270	65 1 206 207
271	60 37 52 223
272	201 52 208 18 209
273	137 32 227 32 30 30
274	208 153 116 26
275	129 87 139 97
276	34 274 56
277	199 67 67 127 72
278	150 67 67 305 38
279	140 208 67 67 305
280	100 26 161
281	210 217 248 219
282	196 30 30 227 7
283	80 101 164 29
284	187 37
285	143 87
286	211 228
287	212 262
288	137 248 96 288
289	38 34 154 314
290	140 67 82 82 67 102
291	192 130 71 117
292	67 67 197 154 305
293	87 38 167
294	213 93 250 18 209
295	214
296	215 31 211 32 32
297	148 138 170
298	216 117 186
299	65 43 21 87
300	217 64 218 219 119
301	48 140 67 67 102
302	157 8 8 1 192
303	220 17
304	30 87 38 30 199
305	67 67 34 127 308
306	210 46 124 253 203
307	129 52 151
308	221 141
309	1 38 87
310	129 52 38
311	65 73 170 246
312	179 49
313	1 222 203 127
314	70 123 46 223
315	203 30 30 305
316	223 224 142
317	65 192 208 1
318	70 166 46
319	180 239
320	191 191 156 138 222
321	65 33 100 246 142
322	76 156 31 256
323	141 219 190
324	199 178 47 278 278 45
325	169 110 260 138
326	8 8 82 82 72 314
327	52 16 21 22
328	71 207 220 34
329	214 141 175 32 32
330	8 82 82 83 8
331	67 67 225 148 31
332	87 123
333	34 192 67 67 162 82 82
334	191 191 46 107 304
335	221 248 96 288
336	52 233 183 56
337	196 304 156 25
338	8 8 150 30 30 102
339	179 52 25
340	65 208 139 292
341	194
342	8 123 82 82 226 8
343	141 34 25
344	153 34 98 241
345	53 63 207 129
346	189 175 259 275 306
347	67 190 227 67 309
348	87
349	191 191
350	228 211 203 192
351	81
352	65 142 309 170
353	65 33 48 84 85
354	65 29 85
355	65 87 7 222
356	229 230 224 84
357	199 37 208 306
358	208 178 309 191 191
359	169 208 203 30 30
360	71 165 102
361	156 205 19 95
362	94 211 208 231 203
363	203 232 108 192
364	191 191 53 178
365	65 29 68
366	8 83 165 8 57
367	187 207 199 37
368	167 84 85
369	207 47 191 191 63
370	165 241 63
371	205 30 305 30
372	216 30 30 48
373	29 207 178 63
374	67 67 156 187
375	208 304 7 135
376	67 67 60 156 7
377	71 207 208 165
378	29 30 37 30
379	188 224 223 313
380	142 169 22 296
381	190 187 113 109
382	178 34 219 305 32 32
383	156 7 219 71
384	71 207 199 222
385	65 43 29 283
386	67 67 137 208 299
387	29 305 271 192
388	199 47 127
389	1 192 63 61
390	233 208 242 240
391	143 199 18 142
392	123 71
393	22
394	222 18
395	207 204 234
396	235 207 233
397	199 240 80
398	94 87 4 88 89
399	211 73 289 290
400	236 113 220
401	37 305 223
402	237 238 208 192 28
403	178 271 305
404	71 208 34 17
405	208
406	67 67 227 179 247 30 30
407	178 187
408	208 221 165
409	239 240 96
410	65 150 178 34
411	22 192 203 241
412	165 30 305 102 30
413	203 223 30 30 140
414	22 192 211 71 312
415	129 211 29 143
416	37 203 102
417	82 82 7 67 67 102
418	71 178 34 179
419	134 179 227 34
420	211 200
421	34 192 179 208 129
422	191 191 102 30 30 305
423	67 208 67 305
424	221 192 102 34
425	71 156
426	65 203 32 32 199 212
427	227
428	30 258 240 30 7 231
429	34 67 67 227 179 142
430	211 203 192 227 129
431	156 211 38 63
432	222 165 18 208
433	202 68 63
434	67 67 208 165 271
435	165 169 32 32 209
436	165 30 30
437	67 30 67 167 30
438	208 232 242
439	65 34 132
440	94 67 67 305
441	165 67 67 8 8 143
442	123 70 46 227 248
443	221
444	216
445	221
446	145
447	235
448	60
449	1 63 106
450	202 92 262 304
451	36 243 135 267
452	87 76 38 187
453	78 94 244 314 258
454	150 28 24
455	51 81 4
456	78 51 82 82
457	245 120 226
458	92 257
459	5 2
460	23 121 122 69
461	84 174 42 85
462	69 70 124
463	10 5
464	119
465	56 246 33
466	247 23 25
467	58
468	164 116
469	4 217
470	28
471	36 183 151
472	82 34 82
473	8 8 82 82 127 81
474	59 60 151 175
475	67 67 123 55 25
476	248 96 288
477	84 85
478	94 112 95
479	4 84 174 146
480	8 8 7 30 30 45
481	197 170 161 220 309
482	54 120 55 222
483	57 16 90 100
484	123 305 71
485	134 18 239
486	173 239 45 138
487	82 82 234 57 83
488	70 219 25 142 123
489	52 175 2
490	120 70 305
491	48 8 8 150 202
492	226 285 304 22
493	121 27 94
494	247 98 46
495	30 208 30 135
496	147 49 32 32 123
497	108 249 142 105
498	134 199 196
499	250 210
500	65 203 30 30 305
501	56
502	168 251 142
503	19 171
504	138 87
505	65 155 93 109
506	29 252 234
507	192 71 210
508	145 47 119 177
